confidence,n,mean_score,std_score
0.0,68,0.2602941176470588,0.4295571151648662
1.0,45,0.3877777777777778,0.4751979916972833
2.0,63,0.6277777777777778,0.47304587666915754
3.0,105,0.7300000000000001,0.42424140442767866
4.0,135,0.8644444444444445,0.3189808085432499
5.0,121,0.9078512396694215,0.27868801735862936
