section_1,section_2,section_3,section_4
18.0,12.0,9.0,11.0
0.6293260473588344,0.6311475409836066,0.6994535519125684,0.684053651266766
0.21785681001602195,0.16024156595153788,0.18781047930146885,0.23779997071729742
0.0983606557377049,0.3278688524590163,0.4754098360655737,0.3442622950819672
0.5614754098360655,0.5368852459016393,0.5081967213114754,0.4672131147540983
0.6311475409836066,0.6475409836065573,0.7213114754098361,0.7540983606557377
0.7745901639344263,0.6721311475409836,0.8524590163934426,0.8770491803278689
1.0,1.0,1.0,0.9672131147540984
0.21311475409836078,0.13524590163934425,0.34426229508196715,0.4098360655737706
0.2786885245901639,0.5081967213114754,0.4754098360655737,0.3442622950819672
1.0,0.7540983606557377,1.0,0.9672131147540984
